staff_id,name,role,department,hire_date,active
S0001,Jaiman Pertiwi,Perawat,IGD,2019-03-22,True
S0002,Shakila Kuswoyo,Perawat,ICU,2016-08-17,True
S0003,Titi Damanik,Perawat,ICU,2022-08-30,False
S0004,drg. Fitria Prasetya,Petugas Lab,Keuangan,2018-12-16,True
S0005,Cut Cici Setiawan,Petugas Lab,Operasi,2017-07-19,False
S0006,Lantar Manullang,Admin,Keuangan,2017-01-27,True
S0007,Wani Kusumo,Farmasis,ICU,2024-10-11,True
S0008,"Puti Agnes Farida, M.Kom.",Perawat,Radiologi,2022-06-21,True
S0009,Surya Rajata,Petugas Lab,Farmasi,2016-01-06,True
S0010,Putri Napitupulu,Perawat,Laboratorium,2023-12-13,True
S0011,Wahyu Situmorang,Perawat,Farmasi,2018-04-02,True
S0012,"Iriana Maheswara, M.Kom.",Kasir,Laboratorium,2020-05-15,True
S0013,dr. Yessi Palastri,Perawat,ICU,2017-05-01,False
S0014,R. Clara Situmorang,Petugas Lab,Poli Gigi,2021-03-05,True
S0015,"drg. Maria Agustina, S.Psi",Perawat,Laboratorium,2017-06-09,True
S0016,Anita Farida,Perawat,NICU,2022-12-18,True
S0017,Yulia Widiastuti,Perawat,Radiologi,2019-11-25,False
S0018,"Febi Suartini, S.Sos",Admin,Poli Anak,2018-05-03,True
S0019,"Darmana Puspita, S.Sos",Kasir,IGD,2017-03-28,True
S0020,Dewi Sitompul,Security,ICU,2019-10-18,False
S0021,"R. Padma Astuti, S.Kom",Perawat,Laboratorium,2024-11-08,True
S0022,Hafshah Sihotang,Perawat,IGD,2023-12-21,False
S0023,Drs. Prabawa Firgantoro,Perawat,Poli Gigi,2018-08-27,True
S0024,"Kayla Pradipta, M.Pd",Dokter,Farmasi,2021-11-15,True
S0025,Wani Mandasari,Admin,Radiologi,2020-04-04,True
S0026,Ella Zulaika,Petugas Lab,NICU,2020-05-18,True
S0027,Hamzah Lailasari,Perawat,Poli Anak,2019-01-01,True
S0028,Clara Halimah,Security,NICU,2018-08-30,True
S0029,Julia Wacana,Perawat,Radiologi,2017-02-15,False
S0030,Syahrini Ardianto,Perawat,Poli Anak,2024-09-19,True
S0031,Lala Rajata,Dokter,Farmasi,2021-05-05,False
S0032,Maya Napitupulu,Admin,Poli Anak,2017-06-02,True
S0033,Jinawi Hutagalung,Farmasis,Farmasi,2022-01-21,False
S0034,Tina Manullang,Perawat,Poli Gigi,2019-05-08,True
S0035,Amalia Sihombing,Petugas Lab,ICU,2022-06-05,True
S0036,Nugraha Gunawan,Dokter,Keuangan,2015-11-13,True
S0037,Harimurti Pratama,Petugas Lab,IGD,2018-11-14,True
S0038,Dr. Prima Halim,Dokter,Operasi,2017-02-16,False
S0039,"Laras Uwais, S.H.",Perawat,IGD,2018-12-26,True
S0040,Jelita Mandala,Farmasis,Operasi,2019-07-13,True
S0041,Ayu Narpati,Perawat,Poli Anak,2023-09-08,True
S0042,Kanda Hassanah,Security,Radiologi,2023-08-10,True
S0043,Drs. Imam Hassanah,Kasir,Keuangan,2024-09-11,True
S0044,Puti Najwa Narpati,Perawat,Poli Gigi,2019-12-08,False
S0045,"dr. Liman Adriansyah, S.Sos",Perawat,Radiologi,2020-07-20,True
S0046,Agnes Anggraini,Perawat,Keuangan,2017-08-12,True
S0047,Paramita Maheswara,Dokter,Radiologi,2019-09-20,False
S0048,Prayoga Sinaga,Perawat,NICU,2024-01-05,True
S0049,Karya Pudjiastuti,Admin,NICU,2018-01-27,True
S0050,Sutan Lanjar Jailani,Admin,Operasi,2018-03-23,True
S0051,Ir. Bakiono Saptono,Kasir,NICU,2016-07-25,True
S0052,Cahyo Yuliarti,Farmasis,IGD,2022-04-21,True
S0053,"Sutan Ismail Najmudin, S.IP",Perawat,Radiologi,2021-04-22,False
S0054,Hj. Titin Simbolon,Security,NICU,2024-12-13,True
S0055,Irsad Santoso,Security,Farmasi,2022-02-09,True
S0056,"Paiman Prasetya, S.H.",Petugas Lab,IGD,2016-12-18,True
S0057,Mahesa Sirait,Kasir,Farmasi,2019-08-08,False
S0058,Elma Gunarto,Perawat,NICU,2024-10-06,False
S0059,Daru Puspita,Kasir,Operasi,2018-09-06,True
